Proceso,Agno,COMA
Carbon_II-III,2026,65.47739755511294
GNL_CC_SING,2026,33.014674094603635
GNL_CC_II-III,2026,33.014674094603635
GNL_CC_VIII,2026,33.014674094603635
GNL_CA_SING,2026,33.014674094603635
GNL_CA_II-III,2026,33.014674094603635
GNL_CA_VIII,2026,33.014674094603635
Diesel_SING,2026,22.5
Diesel_IV,2026,22.5
Diesel_X-XIV,2026,22.5
Biomasa_VII,2026,124.66855617911747
Biomasa_VIII,2026,124.66855617911747
Biomasa_X-XIV,2026,124.66855617911747
Geotermica_SING,2026,177.24670478822168
Geotermica_VI,2026,177.24670478822168
Geotermica_VII,2026,177.24670478822168
Geotermica_VIII,2026,177.24670478822168
Solar_CSP_SING,2026,30.0
Solar_CSP_II-III,2026,30.0
Eolica_SING,2026,30.79594442853619
Eolica_II-III,2026,30.79594442853619
Eolica_IV,2026,30.79594442853619
Eolica_V,2026,30.79594442853619
Eolica_VI,2026,30.79594442853619
Eolica_VIII,2026,30.79594442853619
Eolica_X-XIV,2026,30.79594442853619
Hidro_Pasada_XIII,2026,56.242247036326226
Hidro_Pasada_VI,2026,56.242247036326226
Hidro_Pasada_VII,2026,56.242247036326226
Hidro_Pasada_VIII,2026,56.242247036326226
Hidro_Pasada_X-XIV,2026,56.242247036326226
Solar_FV_SING,2026,17.688292106089865
Solar_FV_II-III,2026,17.688292106089865
Solar_FV_IV,2026,17.688292106089865
Solar_FV_V,2026,17.688292106089865
Solar_FV_XIII,2026,17.688292106089865
Solar_FV_VI,2026,17.688292106089865
Carbon_SING,2027,65.6158193653688
Carbon_II-III,2027,65.6158193653688
GNL_CC_SING,2027,33.32342456120056
GNL_CC_II-III,2027,33.32342456120056
GNL_CC_VIII,2027,33.32342456120056
GNL_CA_SING,2027,33.32342456120056
GNL_CA_II-III,2027,33.32342456120056
GNL_CA_VIII,2027,33.32342456120056
Diesel_SING,2027,22.5
Diesel_IV,2027,22.5
Diesel_X-XIV,2027,22.5
