Proceso,Hidrologia,Etapa,Factor_Planta
ALFALFAL,1,6,0.347066167
ALFALFAL,1,7,0.300380573
ALFALFAL,1,8,0.300380573
ALFALFAL,1,9,0.317025593
ALFALFAL,1,10,0.340250091
ALFALFAL,1,11,0.430555556
ALFALFAL,1,12,0.550471185
ALFALFAL,2,1,0.827594539
ALFALFAL,2,2,0.870870118
ALFALFAL,2,3,0.757520841
ALFALFAL,2,4,0.443820225
ALFALFAL,2,5,0.326960251
ALFALFAL,2,6,0.128433208
ALFALFAL,2,7,0.130104506
ALFALFAL,2,8,0.17261689
ALFALFAL,2,9,0.417134831
ALFALFAL,2,10,0.481681165
ALFALFAL,2,11,0.561251561
ALFALFAL,2,12,0.530687447
ALFALFAL,3,1,0.938745922
ALFALFAL,3,2,1.00003344
ALFALFAL,3,3,0.954452096
ALFALFAL,3,4,0.587390762
ALFALFAL,3,5,0.447172889
ALFALFAL,3,6,0.182740325
ALFALFAL,3,7,0.291847892
ALFALFAL,3,8,0.303703032
ALFALFAL,3,9,0.363764045
ALFALFAL,3,10,0.497160807
ALFALFAL,3,11,0.620630462
ALFALFAL,3,12,0.542995651
ALFALFAL,4,1,0.929080585
ALFALFAL,4,2,1.00003344
ALFALFAL,4,3,0.80093935
ALFALFAL,4,4,0.553838951
ALFALFAL,4,5,0.39710946
ALFALFAL,4,6,0.340355805
ALFALFAL,4,7,0.293584632
ALFALFAL,4,8,0.253715114
ALFALFAL,4,9,0.257022472
ALFALFAL,4,10,0.300380573
ALFALFAL,4,11,0.338014981
ALFALFAL,4,12,0.803808747
ALFALFAL,5,1,0.999909387
ALFALFAL,5,2,1.00003344
ALFALFAL,5,3,0.613899964
ALFALFAL,5,4,0.373751561
ALFALFAL,5,5,0.277047843
ALFALFAL,5,6,0.237047441
ALFALFAL,5,7,0.200102694
ALFALFAL,5,8,0.186812855
ALFALFAL,5,9,0.176810237
ALFALFAL,5,10,0.166802585
ALFALFAL,5,11,0.363764045
ALFALFAL,5,12,0.543901776
ALFALFAL,6,1,0.844282349
ALFALFAL,6,2,0.857577582
ALFALFAL,6,3,0.513924127
ALFALFAL,6,4,0.277075531
ALFALFAL,6,5,0.216866014
ALFALFAL,6,6,0.101435705
ALFALFAL,6,7,0.162196448
ALFALFAL,6,8,0.176845475
ALFALFAL,6,9,0.193508115
ALFALFAL,6,10,0.230231364
ALFALFAL,6,11,0.537375156
ALFALFAL,6,12,0.807886311
ALFALFAL,7,1,0.999909387
ALFALFAL,7,2,1.00003344
ALFALFAL,7,3,0.77081068
ALFALFAL,7,4,0.493913858
ALFALFAL,7,5,0.370454271
ALFALFAL,7,6,0.310393258
ALFALFAL,7,7,0.293584632
ALFALFAL,7,8,0.297058113
ALFALFAL,7,9,0.320302747
ALFALFAL,7,10,0.423840159
ALFALFAL,7,11,0.503823346
ALFALFAL,7,12,0.753518787
ALFALFAL,8,1,0.670683823
ALFALFAL,8,2,0.734266319
ALFALFAL,8,3,0.564063066
