Proceso,Agno,Pmax
TRANS_BUS_RM_ELECTRICO_NUEVO,2035,0.0
TRANS_BUS_RM_ELECTRICO_NUEVO,2036,0.0
TRANS_BUS_RM_ELECTRICO_NUEVO,2037,0.0
TRANS_BUS_RM_ELECTRICO_NUEVO,2038,0.0
TRANS_BUS_RM_ELECTRICO_NUEVO,2039,0.0
TRANS_BUS_RM_ELECTRICO_NUEVO,2040,0.0
TRANS_BUS_RM_ELECTRICO_NUEVO,2041,0.0
TRANS_BUS_RM_ELECTRICO_NUEVO,2042,0.0
TRANS_BUS_RM_ELECTRICO_NUEVO,2043,0.0
TRANS_BUS_RM_ELECTRICO_NUEVO,2044,0.0
TRANS_BUS_RM_ELECTRICO_NUEVO,2045,0.0
TRANS_BUS_RM_ELECTRICO_NUEVO,2046,0.0
TRANS_BUS_RM_ELECTRICO_NUEVO,2047,0.0
TRANS_BUS_RM_ELECTRICO_NUEVO,2048,0.0
TRANS_BUS_RM_ELECTRICO_NUEVO,2049,0.0
TRANS_BUS_RM_ELECTRICO_NUEVO,2050,0.0
TRANS_BUS_ELECTRICO_NUEVO,2017,0.0
TRANS_BUS_ELECTRICO_NUEVO,2018,0.0
TRANS_BUS_ELECTRICO_NUEVO,2019,0.0
TRANS_BUS_ELECTRICO_NUEVO,2020,0.0
TRANS_BUS_ELECTRICO_NUEVO,2021,395.0
TRANS_BUS_ELECTRICO_NUEVO,2022,796.0
TRANS_BUS_ELECTRICO_NUEVO,2023,1202.0
TRANS_BUS_ELECTRICO_NUEVO,2024,2016.0
TRANS_BUS_ELECTRICO_NUEVO,2025,2434.0
TRANS_BUS_ELECTRICO_NUEVO,2026,3265.0
TRANS_BUS_ELECTRICO_NUEVO,2027,3694.0
TRANS_BUS_ELECTRICO_NUEVO,2028,4542.0
TRANS_BUS_ELECTRICO_NUEVO,2029,5398.0
TRANS_BUS_ELECTRICO_NUEVO,2030,6264.0
TRANS_BUS_ELECTRICO_NUEVO,2031,7558.0
TRANS_BUS_ELECTRICO_NUEVO,2032,8444.0
TRANS_BUS_ELECTRICO_NUEVO,2033,9762.0
TRANS_BUS_ELECTRICO_NUEVO,2034,11094.0
TRANS_BUS_ELECTRICO_NUEVO,2035,12438.0
TRANS_BUS_ELECTRICO_NUEVO,2036,14226.0
TRANS_BUS_ELECTRICO_NUEVO,2037,16030.0
TRANS_BUS_ELECTRICO_NUEVO,2038,17851.0
TRANS_BUS_ELECTRICO_NUEVO,2039,20125.0
TRANS_BUS_ELECTRICO_NUEVO,2040,22420.0
TRANS_BUS_ELECTRICO_NUEVO,2041,25175.0
TRANS_BUS_ELECTRICO_NUEVO,2042,27954.0
TRANS_BUS_ELECTRICO_NUEVO,2043,31201.0
TRANS_BUS_ELECTRICO_NUEVO,2044,34475.0
TRANS_BUS_ELECTRICO_NUEVO,2045,38225.0
TRANS_BUS_ELECTRICO_NUEVO,2046,42004.0
TRANS_BUS_ELECTRICO_NUEVO,2047,45358.0
TRANS_BUS_ELECTRICO_NUEVO,2048,45548.0
TRANS_BUS_ELECTRICO_NUEVO,2049,45737.0
TRANS_BUS_ELECTRICO_NUEVO,2050,45923.0
TRANS_MINIBUS_ELECTRICO_NUEVO,2017,0.0
TRANS_MINIBUS_ELECTRICO_NUEVO,2018,0.0
TRANS_MINIBUS_ELECTRICO_NUEVO,2019,0.0
TRANS_MINIBUS_ELECTRICO_NUEVO,2020,0.0
TRANS_MINIBUS_ELECTRICO_NUEVO,2021,689.0
TRANS_MINIBUS_ELECTRICO_NUEVO,2022,1387.0
TRANS_MINIBUS_ELECTRICO_NUEVO,2023,2094.0
TRANS_MINIBUS_ELECTRICO_NUEVO,2024,3512.0
TRANS_MINIBUS_ELECTRICO_NUEVO,2025,4240.0
TRANS_MINIBUS_ELECTRICO_NUEVO,2026,5687.0
TRANS_MINIBUS_ELECTRICO_NUEVO,2027,6436.0
TRANS_MINIBUS_ELECTRICO_NUEVO,2028,7912.0
TRANS_MINIBUS_ELECTRICO_NUEVO,2029,9404.0
TRANS_MINIBUS_ELECTRICO_NUEVO,2030,10912.0
TRANS_MINIBUS_ELECTRICO_NUEVO,2031,13166.0
TRANS_MINIBUS_ELECTRICO_NUEVO,2032,14709.0
TRANS_MINIBUS_ELECTRICO_NUEVO,2033,17006.0
TRANS_MINIBUS_ELECTRICO_NUEVO,2034,19325.0
TRANS_MINIBUS_ELECTRICO_NUEVO,2035,21667.0
TRANS_MINIBUS_ELECTRICO_NUEVO,2036,24781.0
TRANS_MINIBUS_ELECTRICO_NUEVO,2037,27924.0
TRANS_MINIBUS_ELECTRICO_NUEVO,2038,31096.0
