Curva,Etapa,Bloque,Distribucion
curva_veh,7,1,0.3858
curva_veh,7,2,0.1162
curva_veh,7,3,0.2661
curva_veh,7,4,0.1028
curva_veh,7,5,0.1291
curva_veh,8,1,0.3858
curva_veh,8,2,0.1162
curva_veh,8,3,0.2661
curva_veh,8,4,0.1028
curva_veh,8,5,0.1291
curva_veh,9,1,0.3858
curva_veh,9,2,0.1162
curva_veh,9,3,0.2661
curva_veh,9,4,0.1028
curva_veh,9,5,0.1291
curva_veh,10,1,0.3858
curva_veh,10,2,0.1162
curva_veh,10,3,0.2661
curva_veh,10,4,0.1028
curva_veh,10,5,0.1291
curva_veh,11,1,0.3858
curva_veh,11,2,0.1162
curva_veh,11,3,0.2661
curva_veh,11,4,0.1028
curva_veh,11,5,0.1291
curva_veh,12,1,0.3858
curva_veh,12,2,0.1162
curva_veh,12,3,0.2661
curva_veh,12,4,0.1028
curva_veh,12,5,0.1291
curva_bus,1,1,0.45
curva_bus,1,2,0.038
curva_bus,1,3,0.325
curva_bus,1,4,0.025
curva_bus,1,5,0.162
curva_bus,2,1,0.45
curva_bus,2,2,0.038
curva_bus,2,3,0.325
curva_bus,2,4,0.025
curva_bus,2,5,0.162
curva_bus,3,1,0.45
curva_bus,3,2,0.038
curva_bus,3,3,0.325
curva_bus,3,4,0.025
curva_bus,3,5,0.162
curva_bus,4,1,0.45
curva_bus,4,2,0.038
curva_bus,4,3,0.325
curva_bus,4,4,0.025
curva_bus,4,5,0.162
curva_bus,5,1,0.45
curva_bus,5,2,0.038
curva_bus,5,3,0.325
curva_bus,5,4,0.025
curva_bus,5,5,0.162
curva_bus,6,1,0.45
curva_bus,6,2,0.038
curva_bus,6,3,0.325
curva_bus,6,4,0.025
curva_bus,6,5,0.162
curva_bus,7,1,0.45
curva_bus,7,2,0.038
curva_bus,7,3,0.325
curva_bus,7,4,0.025
curva_bus,7,5,0.162
curva_bus,8,1,0.45
curva_bus,8,2,0.038
curva_bus,8,3,0.325
curva_bus,8,4,0.025
curva_bus,8,5,0.162
curva_bus,9,1,0.45
curva_bus,9,2,0.038
curva_bus,9,3,0.325
curva_bus,9,4,0.025
curva_bus,9,5,0.162
curva_bus,10,1,0.45
curva_bus,10,2,0.038
curva_bus,10,3,0.325
curva_bus,10,4,0.025
curva_bus,10,5,0.162
curva_bus,11,1,0.45
curva_bus,11,2,0.038
curva_bus,11,3,0.325
curva_bus,11,4,0.025
curva_bus,11,5,0.162
curva_bus,12,1,0.45
curva_bus,12,2,0.038
curva_bus,12,3,0.325
curva_bus,12,4,0.025
curva_bus,12,5,0.162
curva_tren,1,1,0.0
curva_tren,1,2,0.2
curva_tren,1,3,0.48
curva_tren,1,4,0.13
curva_tren,1,5,0.19
curva_tren,2,1,0.0
curva_tren,2,2,0.2
curva_tren,2,3,0.48
curva_tren,2,4,0.13
curva_tren,2,5,0.19
curva_tren,3,1,0.0
curva_tren,3,2,0.2
curva_tren,3,3,0.48
curva_tren,3,4,0.13
curva_tren,3,5,0.19
curva_tren,4,1,0.0
curva_tren,4,2,0.2
curva_tren,4,3,0.48
curva_tren,4,4,0.13
curva_tren,4,5,0.19
curva_tren,5,1,0.0
curva_tren,5,2,0.2
curva_tren,5,3,0.48
curva_tren,5,4,0.13
curva_tren,5,5,0.19
curva_tren,6,1,0.0
curva_tren,6,2,0.2
curva_tren,6,3,0.48
curva_tren,6,4,0.13
curva_tren,6,5,0.19
curva_tren,7,1,0.0
curva_tren,7,2,0.2
curva_tren,7,3,0.48
curva_tren,7,4,0.13
curva_tren,7,5,0.19
curva_tren,8,1,0.0
curva_tren,8,2,0.2
curva_tren,8,3,0.48
curva_tren,8,4,0.13
curva_tren,8,5,0.19
curva_tren,9,1,0.0
curva_tren,9,2,0.2
curva_tren,9,3,0.48
curva_tren,9,4,0.13
curva_tren,9,5,0.19
curva_tren,10,1,0.0
curva_tren,10,2,0.2
curva_tren,10,3,0.48
curva_tren,10,4,0.13
curva_tren,10,5,0.19
curva_tren,11,1,0.0
curva_tren,11,2,0.2
curva_tren,11,3,0.48
curva_tren,11,4,0.13
curva_tren,11,5,0.19
curva_tren,12,1,0.0
curva_tren,12,2,0.2
curva_tren,12,3,0.48
curva_tren,12,4,0.13
curva_tren,12,5,0.19
curva_industrial,1,1,0.225531915
curva_industrial,1,2,0.106382979
curva_industrial,1,3,0.434042553
curva_industrial,1,4,0.106382979
