Proceso,Agno,Etapa,Factor_Planta
CHACABUQUITO,2017,7,0.683025815
CHACABUQUITO,2017,8,0.597255345
CHACABUQUITO,2017,9,0.795503675
CHACABUQUITO,2017,10,0.948705075
CHACABUQUITO,2017,11,0.999243407
CHACABUQUITO,2017,12,0.999958161
CHACAYES,2017,1,0.999763233
CHACAYES,2017,2,0.999789013
CHACAYES,2017,3,0.851061987
CHACAYES,2017,4,0.531089629
CHACAYES,2017,5,0.464871857
CHACAYES,2017,6,0.556202013
CHACAYES,2017,7,0.653274892
CHACAYES,2017,8,0.470646663
CHACAYES,2017,9,0.563163862
CHACAYES,2017,10,0.640161271
CHACAYES,2017,11,0.999646935
CHACAYES,2017,12,0.999763233
CHANLEUFU,2017,1,0.296489564
CHANLEUFU,2017,2,0.210084034
CHANLEUFU,2017,3,0.545540797
CHANLEUFU,2017,4,0.992647059
CHANLEUFU,2017,5,1.004111322
CHANLEUFU,2017,6,1.004901961
CHANLEUFU,2017,7,1.004111322
CHANLEUFU,2017,8,1.004111322
CHANLEUFU,2017,9,1.004901961
CHANLEUFU,2017,10,1.004111322
CHANLEUFU,2017,11,0.612745098
CHANLEUFU,2017,12,1.004111322
CHAPIQUINA,2017,1,0.395007529
CHAPIQUINA,2017,2,0.396238377
CHAPIQUINA,2017,3,0.395007529
CHAPIQUINA,2017,4,0.394477318
CHAPIQUINA,2017,5,0.395007529
CHAPIQUINA,2017,6,0.394477318
CHAPIQUINA,2017,7,0.395007529
CHAPIQUINA,2017,8,0.395007529
CHAPIQUINA,2017,9,0.394477318
CHAPIQUINA,2017,10,0.395007529
CHAPIQUINA,2017,11,0.394477318
CHAPIQUINA,2017,12,0.395007529
CHIBURGO,2017,1,0.999750582
CHIBURGO,2017,2,0.989506627
CHIBURGO,2017,3,0.680356945
CHIBURGO,2017,4,0.458190149
CHIBURGO,2017,5,0.239025607
CHIBURGO,2017,6,0.399484536
CHIBURGO,2017,7,0.239025607
CHIBURGO,2017,8,0.239025607
CHIBURGO,2017,9,0.359392898
CHIBURGO,2017,10,0.831393415
CHIBURGO,2017,11,1.000859107
CHIBURGO,2017,12,0.999750582
CIPRESES,2017,1,0.126856119
CIPRESES,2017,2,0.678429705
CIPRESES,2017,3,0.587557604
CIPRESES,2017,4,0.514550265
CIPRESES,2017,5,0.982078853
CIPRESES,2017,6,0.766798942
CIPRESES,2017,7,0.977086534
CIPRESES,2017,8,0.73937532
CIPRESES,2017,9,0.807010582
CIPRESES,2017,10,0.94546851
CIPRESES,2017,11,0.930291005
CIPRESES,2017,12,0.944828469
CIPRESILLOS,2017,1,0.875149343
CIPRESILLOS,2017,2,0.873015873
CIPRESILLOS,2017,3,0.791517324
CIPRESILLOS,2017,4,0.520061728
CIPRESILLOS,2017,5,0.461469534
