Demanda,Etapa,Participacion
refrigeracion_III,4,0.08333333333333333
iluminacion_III,4,0.08333333333333333
otros_electricos_III,4,0.08333333333333333
enfriamiento_III,4,0.08333333333333333
calefaccion_biomasa_III,5,0.15
calefaccion_electricidad_III,5,0.15
coccion_electricidad_III,5,0.08333333333333333
coccion_gas_licuado_III,5,0.08333333333333333
refrigeracion_III,5,0.08333333333333333
iluminacion_III,5,0.08333333333333333
otros_electricos_III,5,0.08333333333333333
enfriamiento_III,5,0.08333333333333333
calefaccion_biomasa_III,6,0.25
calefaccion_electricidad_III,6,0.25
coccion_electricidad_III,6,0.08333333333333333
coccion_gas_licuado_III,6,0.08333333333333333
refrigeracion_III,6,0.08333333333333333
iluminacion_III,6,0.08333333333333333
otros_electricos_III,6,0.08333333333333333
enfriamiento_III,6,0.08333333333333333
calefaccion_biomasa_III,7,0.25
calefaccion_electricidad_III,7,0.25
coccion_electricidad_III,7,0.08333333333333333
coccion_gas_licuado_III,7,0.08333333333333333
refrigeracion_III,7,0.08333333333333333
iluminacion_III,7,0.08333333333333333
otros_electricos_III,7,0.08333333333333333
enfriamiento_III,7,0.08333333333333333
calefaccion_biomasa_III,8,0.15
calefaccion_electricidad_III,8,0.15
coccion_electricidad_III,8,0.08333333333333333
coccion_gas_licuado_III,8,0.08333333333333333
refrigeracion_III,8,0.08333333333333333
iluminacion_III,8,0.08333333333333333
otros_electricos_III,8,0.08333333333333333
enfriamiento_III,8,0.08333333333333333
calefaccion_biomasa_III,9,0.1
calefaccion_electricidad_III,9,0.1
coccion_electricidad_III,9,0.08333333333333333
coccion_gas_licuado_III,9,0.08333333333333333
refrigeracion_III,9,0.08333333333333333
iluminacion_III,9,0.08333333333333333
otros_electricos_III,9,0.08333333333333333
enfriamiento_III,9,0.08333333333333333
calefaccion_biomasa_III,10,0.05
calefaccion_electricidad_III,10,0.05
coccion_electricidad_III,10,0.08333333333333333
coccion_gas_licuado_III,10,0.08333333333333333
refrigeracion_III,10,0.08333333333333333
iluminacion_III,10,0.08333333333333333
otros_electricos_III,10,0.08333333333333333
enfriamiento_III,10,0.08333333333333333
calefaccion_biomasa_III,11,0.0
calefaccion_electricidad_III,11,0.0
coccion_electricidad_III,11,0.08333333333333333
coccion_gas_licuado_III,11,0.08333333333333333
refrigeracion_III,11,0.08333333333333333
iluminacion_III,11,0.08333333333333333
otros_electricos_III,11,0.08333333333333333
enfriamiento_III,11,0.08333333333333333
calefaccion_biomasa_III,12,0.0
calefaccion_electricidad_III,12,0.0
coccion_electricidad_III,12,0.08333333333333333
coccion_gas_licuado_III,12,0.08333333333333333
refrigeracion_III,12,0.08333333333333333
iluminacion_III,12,0.08333333333333333
otros_electricos_III,12,0.08333333333333333
enfriamiento_III,12,0.08333333333333333
calefaccion_biomasa_IV,1,0.0
calefaccion_electricidad_IV,1,0.0
coccion_electricidad_IV,1,0.08333333333333333
coccion_gas_licuado_IV,1,0.08333333333333333
refrigeracion_IV,1,0.08333333333333333
iluminacion_IV,1,0.08333333333333333
otros_electricos_IV,1,0.08333333333333333
enfriamiento_IV,1,0.08333333333333333
calefaccion_biomasa_IV,2,0.0
calefaccion_electricidad_IV,2,0.0
