Proceso,Barra,Participacion,Perdidas
I_HIE_electricidad,SING,0.0,0.0
I_HIE_electricidad,V,0.0,0.0
I_HIE_electricidad,VI,0.0,0.0
I_HIE_electricidad,VII,0.0,0.0
I_HIE_electricidad,VIII,0.0,0.0
I_HIE_electricidad,XIII,0.0,0.0
I_HIE_electricidad,X-XIV,0.0,0.0
I_HIE_motriz_electricidad,II-III,0.896536404830699,0.0
I_HIE_motriz_electricidad,IV,0.10346359516930098,0.0
I_HIE_motriz_electricidad,SING,0.0,0.0
I_HIE_motriz_electricidad,V,0.0,0.0
I_HIE_motriz_electricidad,VI,0.0,0.0
I_HIE_motriz_electricidad,VII,0.0,0.0
I_HIE_motriz_electricidad,VIII,0.0,0.0
I_HIE_motriz_electricidad,XIII,0.0,0.0
I_HIE_motriz_electricidad,X-XIV,0.0,0.0
I_HIE_nuevo_electricidad,II-III,0.896536404830699,0.0
I_HIE_nuevo_electricidad,IV,0.10346359516930098,0.0
I_HIE_nuevo_electricidad,SING,0.0,0.0
I_HIE_nuevo_electricidad,V,0.0,0.0
I_HIE_nuevo_electricidad,VI,0.0,0.0
I_HIE_nuevo_electricidad,VII,0.0,0.0
I_HIE_nuevo_electricidad,VIII,0.0,0.0
I_HIE_nuevo_electricidad,XIII,0.0,0.0
I_HIE_nuevo_electricidad,X-XIV,0.0,0.0
I_HIE_nuevo_motriz_electricidad_norm,II-III,0.896536404830699,0.0
I_HIE_nuevo_motriz_electricidad_norm,IV,0.10346359516930098,0.0
I_HIE_nuevo_motriz_electricidad_norm,SING,0.0,0.0
I_HIE_nuevo_motriz_electricidad_norm,V,0.0,0.0
I_HIE_nuevo_motriz_electricidad_norm,VI,0.0,0.0
I_HIE_nuevo_motriz_electricidad_norm,VII,0.0,0.0
I_HIE_nuevo_motriz_electricidad_norm,VIII,0.0,0.0
I_HIE_nuevo_motriz_electricidad_norm,XIII,0.0,0.0
I_HIE_nuevo_motriz_electricidad_norm,X-XIV,0.0,0.0
I_HIE_nuevo_motriz_electricidad_prem,II-III,0.896536404830699,0.0
I_HIE_nuevo_motriz_electricidad_prem,IV,0.10346359516930098,0.0
I_HIE_nuevo_motriz_electricidad_prem,SING,0.0,0.0
I_HIE_nuevo_motriz_electricidad_prem,V,0.0,0.0
I_HIE_nuevo_motriz_electricidad_prem,VI,0.0,0.0
I_HIE_nuevo_motriz_electricidad_prem,VII,0.0,0.0
I_HIE_nuevo_motriz_electricidad_prem,VIII,0.0,0.0
I_HIE_nuevo_motriz_electricidad_prem,XIII,0.0,0.0
I_HIE_nuevo_motriz_electricidad_prem,X-XIV,0.0,0.0
I_IND_calor_electricidad,II-III,0.01272723779773246,0.0
I_IND_calor_electricidad,IV,0.019421761506331483,0.0
I_IND_calor_electricidad,SING,0.031241067965079868,0.0
I_IND_calor_electricidad,V,0.09061737121612709,0.0
I_IND_calor_electricidad,VI,0.05130087097903331,0.0
I_IND_calor_electricidad,VII,0.05295665170465819,0.0
I_IND_calor_electricidad,VIII,0.1343819767113017,0.0
I_IND_calor_electricidad,XIII,0.516527782031323,0.0
I_IND_calor_electricidad,X-XIV,0.08380285932334658,0.0
I_IND_electricidad,II-III,0.01272723779773246,0.0
I_IND_electricidad,IV,0.019421761506331483,0.0
I_IND_electricidad,SING,0.031241067965079868,0.0
I_IND_electricidad,V,0.09061737121612709,0.0
I_IND_electricidad,VI,0.05130087097903331,0.0
I_IND_electricidad,VII,0.05295665170465819,0.0
I_IND_electricidad,VIII,0.1343819767113017,0.0
I_IND_electricidad,XIII,0.516527782031323,0.0
I_IND_electricidad,X-XIV,0.08380285932334658,0.0
I_IND_impuesto_calor_electricidad,II-III,0.01272723779773246,0.0
I_IND_impuesto_calor_electricidad,IV,0.019421761506331483,0.0
I_IND_impuesto_calor_electricidad,SING,0.031241067965079868,0.0
I_IND_impuesto_calor_electricidad,V,0.09061737121612709,0.0
I_IND_impuesto_calor_electricidad,VI,0.05130087097903331,0.0
I_IND_impuesto_calor_electricidad,VII,0.05295665170465819,0.0
I_IND_impuesto_calor_electricidad,VIII,0.1343819767113017,0.0
I_IND_impuesto_calor_electricidad,XIII,0.516527782031323,0.0
I_IND_impuesto_calor_electricidad,X-XIV,0.08380285932334658,0.0
I_IND_impuesto_electricidad,II-III,0.01272723779773246,0.0
I_IND_impuesto_electricidad,IV,0.019421761506331483,0.0
I_IND_impuesto_electricidad,SING,0.031241067965079868,0.0
I_IND_impuesto_electricidad,V,0.09061737121612709,0.0
I_IND_impuesto_electricidad,VI,0.05130087097903331,0.0
I_IND_impuesto_electricidad,VII,0.05295665170465819,0.0
I_IND_impuesto_electricidad,VIII,0.1343819767113017,0.0
I_IND_impuesto_electricidad,XIII,0.516527782031323,0.0
I_IND_impuesto_electricidad,X-XIV,0.08380285932334658,0.0
I_IND_impuesto_motriz_electricidad,II-III,0.01272723779773246,0.0
I_IND_impuesto_motriz_electricidad,IV,0.019421761506331483,0.0
I_IND_impuesto_motriz_electricidad,SING,0.031241067965079868,0.0
I_IND_impuesto_motriz_electricidad,V,0.09061737121612709,0.0
I_IND_impuesto_motriz_electricidad,VI,0.05130087097903331,0.0
I_IND_impuesto_motriz_electricidad,VII,0.05295665170465819,0.0
I_IND_impuesto_motriz_electricidad,VIII,0.1343819767113017,0.0
I_IND_impuesto_motriz_electricidad,XIII,0.516527782031323,0.0
I_IND_impuesto_motriz_electricidad,X-XIV,0.08380285932334658,0.0
I_IND_motriz_electricidad,II-III,0.01272723779773246,0.0
I_IND_motriz_electricidad,IV,0.019421761506331483,0.0
I_IND_motriz_electricidad,SING,0.031241067965079868,0.0
