Proceso,Gas,Factor_emision
CTH_SING,CO2,1107.622
CTH_SING,CH4,0.012
CTH_SING,N2O,0.018
ANG_I_SING,CO2,1091.519
ANG_I_SING,CH4,0.012
ANG_I_SING,N2O,0.017
ANG_II_SING,CO2,1103.047
ANG_II_SING,CH4,0.012
ANG_II_SING,N2O,0.017
IEM_I_SING,CO2,1108.258
IEM_I_SING,CH4,0.012
IEM_I_SING,N2O,0.018
COCHRANE_1_SING,CO2,1117.649
COCHRANE_1_SING,CH4,0.012
COCHRANE_1_SING,N2O,0.018
COCHRANE_2_SING,CO2,1117.649
COCHRANE_2_SING,CH4,0.012
COCHRANE_2_SING,N2O,0.018
Carbon_SING,CO2,1108.258
Carbon_SING,CH4,0.012
Carbon_SING,N2O,0.018
Carbon_II-III,CO2,1108.258
Carbon_II-III,CH4,0.012
Carbon_II-III,N2O,0.018
NEHUENCO_1,CO2,346.071
NEHUENCO_1,CH4,0.006
NEHUENCO_1,N2O,0.001
NEHUENCO_1_FA,CO2,438.508
NEHUENCO_1_FA,CH4,0.008
NEHUENCO_1_FA,N2O,0.001
NEHUENCO_2,CO2,317.87
NEHUENCO_2,CH4,0.006
NEHUENCO_2,N2O,0.001
NEHUENCO_9B_P,CO2,594.92
NEHUENCO_9B_P,CH4,0.011
NEHUENCO_9B_P,N2O,0.001
SANISIDRO,CO2,355.822
SANISIDRO,CH4,0.006
SANISIDRO,N2O,0.001
SANISIDRO_FA,CO2,590.232
SANISIDRO_FA,CH4,0.011
SANISIDRO_FA,N2O,0.001
QUINTERO_CA1,CO2,556.837
QUINTERO_CA1,CH4,0.01
QUINTERO_CA1,N2O,0.001
QUINTERO_CA2,CO2,556.837
QUINTERO_CA2,CH4,0.01
QUINTERO_CA2,N2O,0.001
QUINTERO_CC_GNL,CO2,385.887
QUINTERO_CC_GNL,CH4,0.007
QUINTERO_CC_GNL,N2O,0.001
SANISIDRO_2,CO2,342.053
SANISIDRO_2,CH4,0.006
SANISIDRO_2,N2O,0.001
NRENCA,CO2,354.666
NRENCA,CH4,0.006
NRENCA,N2O,0.001
NRENCA_FA,CO2,442.893
NRENCA_FA,CH4,0.008
NRENCA_FA,N2O,0.001
CANDELARIA_1,CO2,551.468
CANDELARIA_1,CH4,0.01
CANDELARIA_1,N2O,0.001
CANDELARIA_2,CO2,551.468
CANDELARIA_2,CH4,0.01
CANDELARIA_2,N2O,0.001
CORDILLERA,CO2,613.912
CORDILLERA,CH4,0.011
CORDILLERA,N2O,0.001
CAMPESINO,CO2,385.887
CAMPESINO,CH4,0.007
CAMPESINO,N2O,0.001
CTM3_SIC,CO2,438.508
CTM3_SIC,CH4,0.008
CTM3_SIC,N2O,0.001
TIERRA_NOBLE,CO2,438.508
TIERRA_NOBLE,CH4,0.008
TIERRA_NOBLE,N2O,0.001
LOS_RULOS,CO2,438.508
LOS_RULOS,CH4,0.008
LOS_RULOS,N2O,0.001
ROBLES,CO2,438.508
ROBLES,CH4,0.008
ROBLES,N2O,0.001
PTA_ALCALDE,CO2,438.508
PTA_ALCALDE,CH4,0.008
PTA_ALCALDE,N2O,0.001
CTM3_SING,CO2,364.003
CTM3_SING,CH4,0.006
CTM3_SING,N2O,0.001
U16_SING,CO2,326.381
U16_SING,CH4,0.006
U16_SING,N2O,0.001
CC1_SING,CO2,356.595
CC1_SING,CH4,0.006
CC1_SING,N2O,0.001
CC2_SING,CO2,356.595
CC2_SING,CH4,0.006
CC2_SING,N2O,0.001
KELAR_SING,CO2,319.606
KELAR_SING,CH4,0.006
KELAR_SING,N2O,0.001
GNL_CC_SING,CO2,438.508
GNL_CC_SING,CH4,0.008
