Sector,Energetico,GEI,FE
siderurgia,gasolina_aviacion,N2O,0.6
siderurgia,kerosene_aviacion,N2O,0.6
siderurgia,nafta,N2O,0.6
siderurgia,gas_refineria,N2O,0.1
siderurgia,coque_petroleo,N2O,1.5
siderurgia,derivados_industria_petroleo,N2O,0.0
siderurgia,electricidad,N2O,0.0
siderurgia,carbon,N2O,1.5
siderurgia,coque_mineral,N2O,1.5
siderurgia,alquitran,N2O,0.6
siderurgia,gas_corriente,N2O,0.0
siderurgia,gas_coque,N2O,0.0
siderurgia,gas_alto_horno,N2O,0.1
siderurgia,gas_natural,N2O,0.1
siderurgia,metano,N2O,0.1
siderurgia,biogas,N2O,0.1
siderurgia,biomasa,N2O,0.0
siderurgia,solar,N2O,0.0
petroquimica,diesel,CO2,74100.0
petroquimica,petroleo_combustible,CO2,74100.0
petroquimica,gasolina,CO2,69300.0
petroquimica,kerenose,CO2,71900.0
petroquimica,gas_licuado,CO2,63100.0
petroquimica,gasolina_aviacion,CO2,70000.0
petroquimica,kerosene_aviacion,CO2,71500.0
petroquimica,nafta,CO2,73300.0
petroquimica,gas_refineria,CO2,57600.0
petroquimica,coque_petroleo,CO2,107000.0
petroquimica,derivados_industria_petroleo,CO2,0.0
petroquimica,electricidad,CO2,0.0
petroquimica,carbon,CO2,94600.0
petroquimica,coque_mineral,CO2,107000.0
petroquimica,alquitran,CO2,80700.0
petroquimica,gas_corriente,CO2,0.0
petroquimica,gas_coque,CO2,0.0
petroquimica,gas_alto_horno,CO2,260000.0
petroquimica,gas_natural,CO2,56100.0
petroquimica,metano,CO2,54600.0
petroquimica,biogas,CO2,54600.0
petroquimica,biomasa,CO2,0.0
petroquimica,solar,CO2,0.0
petroquimica,diesel,CH4,3.0
petroquimica,petroleo_combustible,CH4,3.0
petroquimica,gasolina,CH4,3.0
petroquimica,kerenose,CH4,3.0
petroquimica,gas_licuado,CH4,1.0
petroquimica,gasolina_aviacion,CH4,3.0
petroquimica,kerosene_aviacion,CH4,3.0
petroquimica,nafta,CH4,3.0
