Proceso,ID,ID_Sector,ID_Producto,Tipo ,Capacidad_Instalada,Fplanta,Estado,Agno_ini,Agno_fin,Vutil,Zona,ID_Curva,ID_Tecnologia,ID_Ener,ID_Precio_energ,ID_Costo_inversion,ConEsp,Cvar_no,Fcal,Fprecio,ID_Barra,Es_ERNC,ID_Zona_ERNC,Pmin,Regula,ConPropio,Inercia,Reserva_Primaria,Reserva_Secundaria,Impuesto,SPT,ID_Seg_Tran
Biomasa_VIII,477,8,14,1,0.0,0,0,2020,2100,25,1,0,2,22,26,2,1.35,3.5,0.00035,1.0,2,1,0,0.0,1,0.05,0,0,0,0,1,0
Biomasa_X-XIV,478,8,14,1,0.0,0,0,2020,2100,25,1,0,2,22,26,2,1.35,3.5,0.00035,1.0,2,1,0,0.0,1,0.05,0,0,0,0,1,0
Geotermica_SING,479,8,14,1,0.0,0,0,2020,2100,30,1,0,11,0,0,9,0.0,0.0,0.0,1.0,1,1,0,0.0,1,0.0,0,0,0,0,1,0
Geotermica_VI,480,8,14,1,0.0,0,0,2020,2100,30,1,0,11,0,0,9,0.0,0.0,0.0,1.0,2,1,0,0.0,1,0.0,0,0,0,0,1,0
Geotermica_VII,481,8,14,1,0.0,0,0,2020,2100,30,1,0,11,0,0,9,0.0,0.0,0.0,1.0,2,1,0,0.0,1,0.0,0,0,0,0,1,0
Geotermica_VIII,482,8,14,1,0.0,0,0,2020,2100,30,1,0,11,0,0,9,0.0,0.0,0.0,1.0,2,1,0,0.0,1,0.0,0,0,0,0,1,0
Solar_CSP_SING,483,8,14,1,0.0,0,0,2020,2100,25,1,0,19,23,13,14,0.0,4.0,0.0,1.0,1,1,44,0.0,1,0.0,6,0,0,0,1,0
Solar_CSP_II-III,484,8,14,1,0.0,0,0,2020,2100,25,1,0,19,23,13,14,0.0,4.0,0.0,1.0,2,1,44,0.0,1,0.0,6,0,0,0,1,0
Eolica_SING,485,8,14,1,0.0,0,0,2020,2100,25,1,0,9,24,0,5,0.0,0.0,0.0,1.0,1,1,1,0.0,1,0.0,0,0,0,0,1,0
Eolica_II-III,486,8,14,1,0.0,0,0,2020,2100,25,1,0,9,24,0,5,0.0,0.0,0.0,1.0,2,1,3,0.0,1,0.0,0,0,0,0,1,0
Eolica_IV,487,8,14,1,0.0,0,0,2020,2100,25,1,0,9,24,0,5,0.0,0.0,0.0,1.0,2,1,9,0.0,1,0.0,0,0,0,0,1,0
Eolica_V,488,8,14,1,0.0,0,0,2020,2100,25,1,0,9,24,0,5,0.0,0.0,0.0,1.0,2,1,15,0.0,1,0.0,0,0,0,0,1,0
Eolica_VI,489,8,14,1,0.0,0,0,2020,2100,25,1,0,9,24,0,5,0.0,0.0,0.0,1.0,2,1,15,0.0,1,0.0,0,0,0,0,1,0
Eolica_VIII,490,8,14,1,0.0,0,0,2020,2100,25,1,0,9,24,0,5,0.0,0.0,0.0,1.0,2,1,16,0.0,1,0.0,0,0,0,0,1,0
Eolica_X-XIV,491,8,14,1,0.0,0,0,2020,2100,25,1,0,9,24,0,5,0.0,0.0,0.0,1.0,2,1,18,0.0,1,0.0,0,0,0,0,1,0
