Escenario,Agno,Energeticos,Precio
8,2029,generacion_solar_csp,4621.960077718694
8,2030,generacion_solar_csp,4391.668526092491
8,2031,generacion_solar_csp,4405.056179828505
8,2032,generacion_solar_csp,4418.409579114615
8,2033,generacion_solar_csp,4433.329046726141
8,2034,generacion_solar_csp,4449.235201798315
8,2035,generacion_solar_csp,4464.917909878219
8,2036,generacion_solar_csp,4482.105765092204
8,2037,generacion_solar_csp,4500.029744870464
8,2038,generacion_solar_csp,4517.981652414097
8,2039,generacion_solar_csp,4537.378330289055
8,2040,generacion_solar_csp,4557.496460417781
8,2041,generacion_solar_csp,4577.672913768007
8,2042,generacion_solar_csp,4599.234244552291
8,2043,generacion_solar_csp,4621.50235846949
8,2044,generacion_solar_csp,4644.245004469343
8,2045,generacion_solar_csp,4667.941570494619
8,2046,generacion_solar_csp,4692.330193046316
8,2047,generacion_solar_csp,4716.836397917462
8,2048,generacion_solar_csp,4742.609111581418
8,2049,generacion_solar_csp,4769.059219477147
8,2050,generacion_solar_csp,4795.655833751418
9,2015,generacion_solar_csp,7332.0
9,2016,generacion_solar_csp,7332.0
9,2017,generacion_solar_csp,7332.0
9,2018,generacion_solar_csp,7332.0
9,2019,generacion_solar_csp,7332.0
9,2020,generacion_solar_csp,7123.833343537876
9,2021,generacion_solar_csp,6809.814344707547
9,2022,generacion_solar_csp,6503.111794199428
9,2023,generacion_solar_csp,6204.831868203914
9,2024,generacion_solar_csp,5899.649903807161
9,2025,generacion_solar_csp,5611.527819671819
9,2026,generacion_solar_csp,5327.4355865865555
9,2027,generacion_solar_csp,5048.32765085581
9,2028,generacion_solar_csp,4771.515030576908
9,2029,generacion_solar_csp,4497.916168847289
9,2030,generacion_solar_csp,4224.874282493377
9,2031,generacion_solar_csp,4204.621300184461
9,2032,generacion_solar_csp,4180.8291956694175
9,2033,generacion_solar_csp,4155.156996244324
9,2034,generacion_solar_csp,4126.7792970152295
9,2035,generacion_solar_csp,4094.4783440940782
9,2036,generacion_solar_csp,4060.0288895656713
9,2037,generacion_solar_csp,4022.4804143359024
9,2038,generacion_solar_csp,3980.882283479972
9,2039,generacion_solar_csp,3936.876750186436
9,2040,generacion_solar_csp,3889.5146360829317
9,2041,generacion_solar_csp,3837.8352480767485
9,2042,generacion_solar_csp,3783.4981091194077
9,2043,generacion_solar_csp,3725.54683078826
9,2044,generacion_solar_csp,3663.108328258862
9,2045,generacion_solar_csp,3597.655951478414
9,2046,generacion_solar_csp,3528.330925436894
9,2047,generacion_solar_csp,3454.1267708660957
9,2048,generacion_solar_csp,3376.7888826013636
9,2049,generacion_solar_csp,3295.3207878606454
9,2050,generacion_solar_csp,3208.6802821417314
10,2015,generacion_solar_csp,7332.0
10,2016,generacion_solar_csp,7332.0
10,2017,generacion_solar_csp,7332.0
10,2018,generacion_solar_csp,7332.0
10,2019,generacion_solar_csp,7332.0
10,2020,generacion_solar_csp,7123.9698592899895
10,2021,generacion_solar_csp,6811.286603030122
10,2022,generacion_solar_csp,6508.515102864352
10,2023,generacion_solar_csp,6218.154599047589
10,2024,generacion_solar_csp,5922.861353107607
10,2025,generacion_solar_csp,5653.288064529372
10,2026,generacion_solar_csp,5395.6587692406665
10,2027,generacion_solar_csp,5152.254605589262
10,2028,generacion_solar_csp,4921.864129565542
10,2029,generacion_solar_csp,4706.687223475983
10,2030,generacion_solar_csp,4505.595927425427
10,2031,generacion_solar_csp,4541.961533883823
10,2032,generacion_solar_csp,4580.686856252838
10,2033,generacion_solar_csp,4623.33211968001
10,2034,generacion_solar_csp,4669.485987938711
10,2035,generacion_solar_csp,4717.943530966933
10,2036,generacion_solar_csp,4770.401815086812
10,2037,generacion_solar_csp,4826.2157873987035
10,2038,generacion_solar_csp,4884.842846420854
10,2039,generacion_solar_csp,4947.545869894582
10,2040,generacion_solar_csp,5013.755811711768
10,2041,generacion_solar_csp,5083.0127914619525
10,2042,generacion_solar_csp,5156.415931868831
10,2043,generacion_solar_csp,5233.477225083796
10,2044,generacion_solar_csp,5314.402136161196
10,2045,generacion_solar_csp,5398.991135679834
10,2046,generacion_solar_csp,5487.390075513907
10,2047,generacion_solar_csp,5579.319558869949
10,2048,generacion_solar_csp,5675.521099537337
10,2049,generacion_solar_csp,5775.683825552202
10,2050,generacion_solar_csp,5879.626099585908
11,2015,generacion_solar_csp,7332.0
11,2016,generacion_solar_csp,7332.0
11,2017,generacion_solar_csp,7332.0
11,2018,generacion_solar_csp,7332.0
11,2019,generacion_solar_csp,7332.0
11,2020,generacion_solar_csp,7123.9193547919995
11,2021,generacion_solar_csp,6810.74193572
11,2022,generacion_solar_csp,6506.516129212
11,2023,generacion_solar_csp,6213.2258064160005
11,2024,generacion_solar_csp,5914.274193191
11,2025,generacion_solar_csp,5637.838710372
11,2026,generacion_solar_csp,5370.419355196001
11,2027,generacion_solar_csp,5113.806451474
11,2028,generacion_solar_csp,4866.241934690001
11,2029,generacion_solar_csp,4629.451614064
11,2030,generacion_solar_csp,4401.74193598
11,2031,generacion_solar_csp,4417.161290022
11,2032,generacion_solar_csp,4432.758063403
11,2033,generacion_solar_csp,4450.129033484
11,2034,generacion_solar_csp,4468.709677832
11,2035,generacion_solar_csp,4487.290322164
11,2036,generacion_solar_csp,4507.596772932
11,2037,generacion_solar_csp,4528.870968909
11,2038,generacion_solar_csp,4550.41935516
11,2039,generacion_solar_csp,4573.64516075
11,2040,generacion_solar_csp,4597.83870826
11,2041,generacion_solar_csp,4622.354839809999
11,2042,generacion_solar_csp,4648.500000222
11,2043,generacion_solar_csp,4675.612902553999
11,2044,generacion_solar_csp,4703.499998417999
11,2045,generacion_solar_csp,4732.580646187
11,2046,generacion_solar_csp,4762.629032373
11,2047,generacion_solar_csp,4793.096773382
11,2048,generacion_solar_csp,4825.09677244
11,2049,generacion_solar_csp,4858.064517072
11,2050,generacion_solar_csp,4891.5
12,2015,generacion_solar_csp,7332.0
12,2016,generacion_solar_csp,7332.0
12,2017,generacion_solar_csp,7332.0
12,2018,generacion_solar_csp,7332.0
12,2019,generacion_solar_csp,7332.0
12,2020,generacion_solar_csp,7123.888043321401
12,2021,generacion_solar_csp,6810.404256203409
12,2022,generacion_solar_csp,6505.276817720268
12,2023,generacion_solar_csp,6210.170083624703
12,2024,generacion_solar_csp,5908.9503781654885
12,2025,generacion_solar_csp,5628.260514018813
12,2026,generacion_solar_csp,5354.771577230873
12,2027,generacion_solar_csp,5089.969599410006
12,2028,generacion_solar_csp,4831.757625592917
12,2029,generacion_solar_csp,4581.567552059185
12,2030,generacion_solar_csp,4337.355171847745
12,2031,generacion_solar_csp,4339.788396083671
12,2032,generacion_solar_csp,4341.046072741603
12,2033,generacion_solar_csp,4342.747640600883
12,2034,generacion_solar_csp,4344.233605778683
12,2035,generacion_solar_csp,4344.291352698812
12,2036,generacion_solar_csp,4344.664505943676
12,2037,generacion_solar_csp,4344.524942072802
12,2038,generacion_solar_csp,4343.085518950027
12,2039,generacion_solar_csp,4341.8364797978975
12,2040,generacion_solar_csp,4339.98095945511
12,2041,generacion_solar_csp,4336.758932846249
12,2042,generacion_solar_csp,4333.605379083204
12,2043,generacion_solar_csp,4329.7515827086145
12,2044,generacion_solar_csp,4324.756617414379
12,2045,generacion_solar_csp,4319.423535853079
12,2046,generacion_solar_csp,4313.296101712529
12,2047,generacion_solar_csp,4305.659166602883
12,2048,generacion_solar_csp,4297.855885507678
12,2049,generacion_solar_csp,4289.164495454967
12,2050,generacion_solar_csp,4278.887608107523
13,2015,generacion_solar_csp,7332.0
13,2016,generacion_solar_csp,7332.0
13,2017,generacion_solar_csp,7332.0
13,2018,generacion_solar_csp,7332.0
13,2019,generacion_solar_csp,7332.0
13,2020,generacion_solar_csp,7123.994591204749
13,2021,generacion_solar_csp,6811.553325124635
13,2022,generacion_solar_csp,6509.493994803564
13,2023,generacion_solar_csp,6220.56821534085
