flujo,agnos,producto,flujo
20          ,2038        ,calor_calder,        0.45
20          ,2039        ,calor_calder,        0.45
20          ,2040        ,calor_calder,        0.45
20          ,2041        ,calor_calder,        0.45
20          ,2042        ,calor_calder,        0.45
20          ,2043        ,calor_calder,        0.45
20          ,2044        ,calor_calder,        0.45
20          ,2045        ,calor_calder,        0.45
20          ,2046        ,calor_calder,        0.45
20          ,2047        ,calor_calder,        0.45
20          ,2048        ,calor_calder,        0.45
20          ,2049        ,calor_calder,        0.45
20          ,2050        ,calor_calder,        0.45
21          ,2017        ,calor_calder,        0.00
21          ,2018        ,calor_calder,        0.00
21          ,2019        ,calor_calder,        0.00
21          ,2020        ,calor_calder,        0.00
21          ,2021        ,calor_calder,        0.00
21          ,2022        ,calor_calder,        0.00
21          ,2023        ,calor_calder,        0.00
21          ,2024        ,calor_calder,        0.00
21          ,2025        ,calor_calder,        0.00
21          ,2026        ,calor_calder,        0.00
21          ,2027        ,calor_calder,        0.00
21          ,2028        ,calor_calder,        0.00
21          ,2029        ,calor_calder,        0.00
21          ,2030        ,calor_calder,        0.00
21          ,2031        ,calor_calder,        0.00
21          ,2032        ,calor_calder,        0.00
21          ,2033        ,calor_calder,        0.00
21          ,2034        ,calor_calder,        0.00
