Escenario,agno,emission,CAPEX,OPEX
18,2035,19.21,2031.88,1352.17
18,2036,18.55,1780.52,1267.07
18,2037,17.83,1732.75,1288.9
18,2038,16.28,1949.57,1304.11
18,2039,15.38,1374.33,1180.79
18,2040,9.39,3015.01,1664.42
18,2041,4.93,1874.15,1282.7
18,2042,5.05,790.75,1010.6
18,2043,5.16,735.05,1012.69
18,2044,5.3,601.89,995.38
18,2045,5.55,517.66,1017.17
18,2046,5.57,587.52,1039.44
18,2047,5.59,496.86,1017.72
18,2048,5.63,366.6,1018.74
18,2049,5.88,234.07,1023.74
18,2050,5.96,155.49,1018.19
19,2017,34.74,0.0,819.36
19,2018,36.82,0.0,882.95
19,2019,36.39,0.0,850.87
19,2020,39.19,216.43,1070.97
19,2021,32.94,0.0,844.39
19,2022,34.59,1731.4,1412.73
19,2023,34.95,2015.0,1518.84
19,2024,31.69,1290.29,1252.81
19,2025,30.99,1410.58,1337.75
19,2026,29.49,1422.69,1381.76
19,2027,27.97,2508.03,1702.81
19,2028,27.42,1998.07,1527.52
19,2029,26.6,2520.28,1640.78
19,2030,24.68,2817.35,1674.92
19,2031,22.86,3035.62,1689.96
19,2032,22.37,2227.68,1438.78
19,2033,21.35,2267.13,1447.04
19,2034,20.39,2276.69,1470.02
19,2035,19.83,2317.53,1402.77
19,2036,19.48,2089.55,1362.75
19,2037,18.35,2335.6,1396.43
19,2038,16.88,2281.66,1407.83
19,2039,15.85,1723.37,1294.01
19,2040,8.78,5235.07,1781.12
19,2041,3.87,3675.16,1116.2
19,2042,4.02,1016.96,950.37
19,2043,4.16,940.36,965.35
19,2044,4.27,811.72,948.36
19,2045,4.44,792.9,994.05
19,2046,4.65,620.59,1004.26
19,2047,4.54,722.32,983.86
19,2048,4.28,676.76,967.42
19,2049,4.49,314.12,986.66
19,2050,4.76,163.09,1013.23
20,2017,34.77,0.0,818.63
20,2018,36.81,0.0,882.86
20,2019,36.6,0.0,854.94
20,2020,39.86,0.0,850.12
20,2021,33.89,0.0,717.65
20,2022,37.95,0.0,853.34
20,2023,38.11,1940.98,1523.02
20,2024,34.2,1465.26,1322.68
20,2025,32.69,1614.82,1419.23
20,2026,30.72,1229.5,1324.63
20,2027,28.51,3598.01,1926.06
20,2028,27.91,2048.7,1476.26
20,2029,28.04,1686.77,1385.38
20,2030,26.3,2987.26,1640.81
20,2031,25.31,2282.79,1510.52
20,2032,25.22,2204.01,1314.68
20,2033,23.8,3088.18,1340.29
20,2034,21.52,3347.75,1512.85
20,2035,19.57,3403.03,1357.32
20,2036,17.77,3006.86,1161.07
20,2037,17.02,1979.31,1172.3
20,2038,15.32,2950.0,1002.33
20,2039,13.33,2995.06,955.11
20,2040,6.55,4771.38,1048.73
20,2041,3.06,2730.51,838.26
20,2042,2.82,1720.55,736.98
20,2043,2.86,1218.22,650.88
20,2044,2.71,1248.72,619.26
20,2045,2.81,982.75,613.17
20,2046,2.91,751.94,623.82
20,2047,2.75,804.49,584.98
20,2048,2.26,776.3,513.89
20,2049,2.11,471.49,450.07
20,2050,2.1,228.03,414.85
21,2017,34.75,0.0,819.02
21,2018,36.82,0.0,882.93
21,2019,36.21,0.0,847.23
21,2020,38.94,7.45,1057.18
21,2021,32.7,0.0,878.89
21,2022,36.14,132.42,1053.03
21,2023,35.09,2750.69,1874.34
21,2024,31.51,1163.92,1287.11
21,2025,30.44,1383.7,1388.54
21,2026,28.97,858.89,1240.55
21,2027,28.19,644.25,1245.82
21,2028,28.7,193.52,1154.45
21,2029,26.59,3755.26,2141.38
21,2030,24.99,2246.15,1619.18
21,2031,22.32,3150.56,1813.93
21,2032,22.08,1507.04,1288.27
