GEI,agno,offset
offset_mejora_alimen_bovinos  ,2031        ,        0.00
offset_mejora_alimen_bovinos  ,2032        ,        0.00
offset_mejora_alimen_bovinos  ,2033        ,        0.00
offset_mejora_alimen_bovinos  ,2034        ,        0.00
offset_mejora_alimen_bovinos  ,2035        ,        0.00
offset_mejora_alimen_bovinos  ,2036        ,        0.00
offset_mejora_alimen_bovinos  ,2037        ,        0.00
offset_mejora_alimen_bovinos  ,2038        ,        0.00
offset_mejora_alimen_bovinos  ,2039        ,        0.00
offset_mejora_alimen_bovinos  ,2040        ,        0.00
offset_mejora_alimen_bovinos  ,2041        ,        0.00
offset_mejora_alimen_bovinos  ,2042        ,        0.00
offset_mejora_alimen_bovinos  ,2043        ,        0.00
offset_mejora_alimen_bovinos  ,2044        ,        0.00
offset_mejora_alimen_bovinos  ,2045        ,        0.00
offset_mejora_alimen_bovinos  ,2046        ,        0.00
offset_mejora_alimen_bovinos  ,2047        ,        0.00
offset_mejora_alimen_bovinos  ,2048        ,        0.00
offset_mejora_alimen_bovinos  ,2049        ,        0.00
offset_mejora_alimen_bovinos  ,2050        ,        0.00
offset_inhibidoresN2_fert     ,2017        ,        0.00
offset_inhibidoresN2_fert     ,2018        ,        0.00
offset_inhibidoresN2_fert     ,2019        ,        0.00
offset_inhibidoresN2_fert     ,2020        ,        0.00
offset_inhibidoresN2_fert     ,2021        ,        0.00
offset_inhibidoresN2_fert     ,2022        ,        0.00
offset_inhibidoresN2_fert     ,2023        ,        0.00
offset_inhibidoresN2_fert     ,2024        ,        0.00
offset_inhibidoresN2_fert     ,2025        ,        0.00
offset_inhibidoresN2_fert     ,2026        ,        0.00
offset_inhibidoresN2_fert     ,2027        ,        0.00
offset_inhibidoresN2_fert     ,2028        ,        0.00
offset_inhibidoresN2_fert     ,2029        ,        0.00
offset_inhibidoresN2_fert     ,2030        ,        0.00
offset_inhibidoresN2_fert     ,2031        ,        0.00
offset_inhibidoresN2_fert     ,2032        ,        0.00
offset_inhibidoresN2_fert     ,2033        ,        0.00
offset_inhibidoresN2_fert     ,2034        ,        0.00
offset_inhibidoresN2_fert     ,2035        ,        0.00
offset_inhibidoresN2_fert     ,2036        ,        0.00
offset_inhibidoresN2_fert     ,2037        ,        0.00
offset_inhibidoresN2_fert     ,2038        ,        0.00
offset_inhibidoresN2_fert     ,2039        ,        0.00
offset_inhibidoresN2_fert     ,2040        ,        0.00
offset_inhibidoresN2_fert     ,2041        ,        0.00
offset_inhibidoresN2_fert     ,2042        ,        0.00
offset_inhibidoresN2_fert     ,2043        ,        0.00
offset_inhibidoresN2_fert     ,2044        ,        0.00
offset_inhibidoresN2_fert     ,2045        ,        0.00
offset_inhibidoresN2_fert     ,2046        ,        0.00
offset_inhibidoresN2_fert     ,2047        ,        0.00
offset_inhibidoresN2_fert     ,2048        ,        0.00
offset_inhibidoresN2_fert     ,2049        ,        0.00
offset_inhibidoresN2_fert     ,2050        ,        0.00
offset_agricultura_organica   ,2017        ,        0.00
offset_agricultura_organica   ,2018        ,        0.00
offset_agricultura_organica   ,2019        ,        0.00
offset_agricultura_organica   ,2020        ,        0.00
offset_agricultura_organica   ,2021        ,        0.00
offset_agricultura_organica   ,2022        ,        0.00
offset_agricultura_organica   ,2023        ,        0.00
offset_agricultura_organica   ,2024        ,        0.00
offset_agricultura_organica   ,2025        ,        0.00
offset_agricultura_organica   ,2026        ,        0.00
offset_agricultura_organica   ,2027        ,        0.00
offset_agricultura_organica   ,2028        ,        0.00
offset_agricultura_organica   ,2029        ,        0.00
