barra,agno,etapa,bloque,potencia,energia
SING        ,2020        ,7           ,2           ,     2127.69,   197875.40
SING        ,2020        ,7           ,3           ,     2070.79,   641944.32
SING        ,2020        ,7           ,4           ,     2004.73,   124292.98
SING        ,2020        ,7           ,5           ,     2016.65,   125032.55
SING        ,2020        ,8           ,1           ,     2121.82,   458312.57
SING        ,2020        ,8           ,2           ,     2150.77,   200021.78
SING        ,2020        ,8           ,3           ,     2098.24,   650455.80
SING        ,2020        ,8           ,4           ,     2025.80,   125599.45
SING        ,2020        ,8           ,5           ,     2062.58,   127880.13
SING        ,2020        ,9           ,1           ,     2119.75,   445147.94
SING        ,2020        ,9           ,2           ,     2145.27,   193074.12
SING        ,2020        ,9           ,3           ,     2100.44,   630130.86
SING        ,2020        ,9           ,4           ,     2044.35,   122660.85
SING        ,2020        ,9           ,5           ,     2076.66,   124599.78
SING        ,2020        ,10          ,1           ,     2123.29,   460752.89
SING        ,2020        ,10          ,2           ,     2151.10,   200052.01
SING        ,2020        ,10          ,3           ,     2095.08,   649475.65
SING        ,2020        ,10          ,4           ,     2143.41,   132891.27
SING        ,2020        ,10          ,5           ,     2163.14,   134114.49
SING        ,2020        ,11          ,1           ,     2192.14,   460350.40
SING        ,2020        ,11          ,2           ,     2124.70,   191222.94
SING        ,2020        ,11          ,3           ,     2132.51,   639752.97
SING        ,2020        ,11          ,4           ,     2229.80,   133787.88
SING        ,2020        ,11          ,5           ,     2248.79,   134927.29
SING        ,2020        ,12          ,1           ,     2207.53,   479034.12
SING        ,2020        ,12          ,2           ,     2212.81,   205791.36
SING        ,2020        ,12          ,3           ,     2116.06,   655979.26
SING        ,2020        ,12          ,4           ,     2149.09,   133243.30
SING        ,2020        ,12          ,5           ,     2168.89,   134471.34
SING        ,2021        ,1           ,1           ,     2044.75,   443711.00
SING        ,2021        ,1           ,2           ,     2028.65,   188664.11
SING        ,2021        ,1           ,3           ,     1985.09,   615378.90
SING        ,2021        ,1           ,4           ,     2040.62,   126518.72
SING        ,2021        ,1           ,5           ,     2117.59,   131290.50
SING        ,2021        ,2           ,1           ,     1969.46,   386013.33
SING        ,2021        ,2           ,2           ,     1940.08,   162967.06
SING        ,2021        ,2           ,3           ,     1915.01,   536202.34
SING        ,2021        ,2           ,4           ,     2010.22,   112572.50
SING        ,2021        ,2           ,5           ,     2026.19,   113466.89
SING        ,2021        ,3           ,1           ,     1985.04,   430753.88
SING        ,2021        ,3           ,2           ,     1980.79,   184213.86
SING        ,2021        ,3           ,3           ,     1944.66,   602845.07
SING        ,2021        ,3           ,4           ,     1963.91,   121762.59
SING        ,2021        ,3           ,5           ,     2020.28,   125257.34
